finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
index,M019,32.809,78.823,-27.385313256169212,62.47645833566268,-0.009001936,-0.0023787564,0.0061328444,0.00637594,-0.008147573,0.01697753,0.46671206,-0.8639189,0.18927225,0.01114922,brown_exact,3.199272725464767e-12,3.199272725464767e-12,ray_hit,0.0,3.2692688e-12,right_indexdip_roll_rubber_link,1135
index,M022,159.385,98.764,159.36530867761368,98.70814454952729,-0.000420662,-0.0011414179,0.010346466,0.008179984,0.00045402595,0.020937553,0.9493507,-0.039620508,0.3117105,0.010417732,brown_exact,0.0,0.0,ray_hit,0.0,0.0,right_indexdip_roll_rubber_link,854
index,M023,190.355,99.304,190.67723115409072,99.1196095191041,0.0020761387,-0.0011201401,0.010452229,0.008207489,0.002951279,0.02103041,0.92974305,0.014841241,0.36790976,0.010715136,brown_exact,1.4527727658641964e-14,1.4527727658641964e-14,ray_hit,0.0,2.842171e-14,right_indexdip_roll_rubber_link,576
index,M024,128.993,99.93,128.22126169498836,99.62640151128981,-0.0028450624,-0.0010545094,0.010209675,0.0080505125,-0.0019719424,0.02089399,0.9412272,-0.09121939,0.32522354,0.010651002,brown_exact,1.0919865976511855e-13,1.0919865976511855e-13,ray_hit,0.0,1.1368684e-13,right_indexdip_roll_rubber_link,958
index,M025,218.732,101.118,221.283610556109,100.50825310185215,0.0044791996,-0.0009996499,0.010355858,0.008027084,0.005352504,0.021039354,0.9110873,0.16674513,0.37698275,0.011327238,brown_exact,2.1791591487962947e-14,2.1791591487962947e-14,ray_hit,0.0,4.0194366e-14,right_indexdip_roll_rubber_link,545
index,M026,100.677,101.911,96.35967386627098,101.09315689757636,-0.0051444056,-0.00090689695,0.0098523,0.007727017,-0.004274976,0.020727042,0.9038498,-0.25823233,0.34113282,0.0111514665,brown_exact,2.209074830870764e-14,2.209074830870764e-14,ray_hit,0.0,1.4210855e-14,right_indexdip_roll_rubber_link,779
index,M027,245.641,103.28,254.84773345963492,102.04881645785896,0.0066998214,-0.00082386367,0.009723579,0.0074491645,0.0075669144,0.020686883,0.8115624,0.44276342,0.38121775,0.01183699,brown_exact,3.3539260516488443e-13,3.3539260516488443e-13,ray_hit,0.0,3.129616e-13,right_indexdip_roll_rubber_link,485
index,M028,73.47,104.357,59.578009364508844,102.86709673992318,-0.007194695,-0.00070277223,0.008957073,0.006999064,-0.006333382,0.020198047,0.76064676,-0.5349296,0.3677864,0.0115102865,brown_exact,1.464024577111919e-14,1.464024577111919e-14,ray_hit,0.0,2.842171e-14,right_indexdip_roll_rubber_link,1039
index,M029,273.662,108.135,299.8281016359259,106.66161936873736,0.008511658,-0.00040706852,0.008241559,0.006128273,0.009364357,0.019863905,0.542639,0.784531,0.30009004,0.011854844,brown_exact,2.6172490804394793e-13,2.6172490804394793e-13,ray_hit,0.0,2.842171e-13,right_indexdip_roll_rubber_link,1450
index,M030,43.175,109.412,3.598290720564421,107.78599842375708,-0.0088285245,-0.00029244882,0.007171574,0.005517847,-0.007983573,0.01914513,0.4369004,-0.8637391,0.251143,0.011378042,brown_exact,5.815501649112981e-14,5.815501649112981e-14,ray_hit,0.0,5.8592854e-14,right_indexdip_roll_rubber_link,1221
