finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M028,73.47,104.357,59.578009364508844,102.86709673992318,-0.0072653145,-0.00070967025,0.009044991,0.008430219,-0.0064350953,0.049749307,0.72938806,-0.57500374,0.37062618,0.011623265,brown_exact,1.464024577111919e-14,1.464024577111919e-14,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,1037
middle,M029,273.662,108.135,299.8281016359259,106.66161936873736,0.00845475,-0.00040434694,0.008186458,0.007572038,0.00928201,0.049317006,0.55707604,0.7995003,0.22464535,0.011775585,brown_exact,2.6172490804394793e-13,2.6172490804394793e-13,ray_hit,0.0,2.8563463e-13,right_middip_roll_rubber_link,1617
middle,M030,43.175,109.412,3.598290720564421,107.78599842375708,-0.008867705,-0.0002937467,0.007203401,0.0068926713,-0.008042979,0.04866176,0.360662,-0.90731645,0.21610127,0.011428538,brown_exact,5.815501649112981e-14,5.815501649112981e-14,ray_hit,0.0,5.684342e-14,right_middip_roll_rubber_link,1223
middle,M031,302.383,113.968,365.97145733942284,113.63821414275544,0.0094681615,2.4940005e-05,0.0061551644,0.005888064,0.010289422,0.048097663,0.2868126,0.94133335,0.17784847,0.011293041,brown_exact,3.399636098455872e-12,3.399636098455872e-12,ray_hit,0.0,3.4108716e-12,right_middip_roll_rubber_link,1430
middle,M032,14.841,118.514,-77.20101012604428,120.67267270809344,-0.009611915,0.0003012716,0.0051997886,0.0051105563,-0.008793548,0.04757407,0.19019781,-0.97115916,0.1437869,0.010932405,monotonic_extrapolation,3.187592945097954,0.0,ray_hit,0.0,7.160723e-14,right_middip_roll_rubber_link,1309
middle,M033,186.886,127.893,187.10316160041992,128.0288839861961,0.001963151,0.0013096775,0.011459119,0.008517546,0.0027937402,0.052894354,0.8652741,0.040735323,0.49964127,0.011699598,brown_exact,3.631931914660491e-15,3.631931914660491e-15,ray_hit,0.0,0.0,right_middip_roll_rubber_link,498
middle,M034,159.826,128.0,159.8107076014275,128.0433942254088,-0.00042768195,0.0013133667,0.011480232,0.008537489,0.00040296314,0.052912492,0.88875824,-0.020361103,0.45792383,0.011563026,brown_exact,2.026415160979645e-15,2.026415160979645e-15,ray_hit,0.0,1.4210855e-14,right_middip_roll_rubber_link,848
middle,M035,132.692,128.52,132.11596595040098,128.78078992489455,-0.0028219318,0.0013610964,0.011337628,0.008415006,-0.0019917386,0.052838683,0.8577321,-0.13839786,0.49511784,0.011762554,brown_exact,9.428049086571002e-13,9.428049086571002e-13,ray_hit,0.0,9.66756e-13,right_middip_roll_rubber_link,951
middle,M036,212.563,128.651,214.36553254626543,129.20190513128563,0.0042584105,0.0013827258,0.011216395,0.008292432,0.0050882115,0.052763235,0.81023633,0.22619054,0.5406986,0.012076982,brown_exact,1.106074950286144e-12,1.106074950286144e-12,ray_hit,0.0,1.116796e-12,right_middip_roll_rubber_link,1628
middle,M037,107.485,129.564,104.3624320460226,130.41065214418342,-0.005024309,0.001444497,0.010898839,0.0080668,-0.004195371,0.05256903,0.7885951,-0.31575024,0.52765477,0.012087801,brown_exact,2.1791591487962947e-14,2.1791591487962947e-14,ray_hit,0.0,5.1237965e-14,right_middip_roll_rubber_link,914
