Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_thumbcmp_roll_link,-8.54379381088049E-06,-0.0001927651406229,0.000445980545263444,0,0,0,0.0160024784918781,9.74083795223521E-07,-1.4962617072713E-09,9.91767846536495E-11,1.05610702170484E-06,-5.06076808482813E-09,8.20683351269054E-07,0,0,0,0,0,0,../meshes/right_thumbcmp_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_thumbcmp_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_20-曲面-缝合1-1,right_thumbcmp_roll_link,right_thumbcmp_roll_joint,right_thumbcmp_roll_joint,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,0,1.92,,,,,,,,
right_thumbcmr_roll_link,0.00125263071793297,0.00616514197000825,-1.2571450488507E-07,0,0,0,0.0088065406435597,7.09583411719311E-07,1.5570297588171E-08,-1.62557107294514E-12,7.18456240769153E-07,-1.46203830251076E-11,4.23178503775307E-07,0,0,0,0,0,0,../meshes/right_thumbcmr_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,../meshes/right_thumbcmr_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_20-00_STARK3NRSP_ID_UPGRADE__SK_201-2,right_thumbcmr_roll_link,right_thumbcmr_roll_joint,right_thumbcmr_roll_joint,revolute,0,0.0094641,-3.508E-05,0,1.5708,0,right_thumbcmp_roll_link,0,1,0,0,0,-0.44,1.4,,,,,,,,
right_thumbmcp_roll_link,0.0024320638700562,0.0225903591911198,1.27003364821018E-05,0,0,0,0.0725663530048143,1.53712922039891E-05,8.94082411852516E-07,-1.26586599400697E-09,6.98403787775475E-06,1.73542537605888E-08,1.58505799611156E-05,0,0,0,0,0,0,../meshes/right_thumbmcp_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,../meshes/right_thumbmcp_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_6-1,right_thumbmcp_roll_link,right_thumbmcp_roll_joint,right_thumbmcp_roll_joint,revolute,0,0.012,0,0,0,0,right_thumbcmr_roll_link,0,0,1,0,0,0,1.31,,,,,,,,
right_thumbpip_roll_link,0.00118085739560778,0.0194553076245299,4.44183277394615E-08,0,0,0,0.0421941689022397,5.90114025150445E-06,-4.82812308338675E-08,5.89951051897017E-11,2.77551443471786E-06,6.79150640409583E-11,5.37817063805466E-06,0,0,0,0,0,0,../meshes/right_thumbpip_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_thumbpip_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_21-1,right_thumbpip_roll_link,right_thumbpip_roll_joint,right_thumbpip_roll_joint,revolute,0.0013667,0.042587,0,0,0,0,right_thumbmcp_roll_link,0,0,1,0,0,-0.17,1.57,,,,,,,,
right_thumbdip_roll_link,0.000549762790440146,0.0155406081489602,-0.000294042958134178,0,0,0,0.0112430020039432,1.32463299658441E-06,-1.19798074425196E-08,-2.3532051331424E-10,7.020896252899E-07,1.97154129494166E-08,1.07767904653565E-06,0,0,0,0,0,0,../meshes/right_thumbdip_roll_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_thumbdip_roll_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_5-1,right_thumbdip_roll_link,right_thumbdip_roll_joint,right_thumbdip_roll_joint,revolute,0.00052077,0.032,0.00022606,0,0,0,right_thumbpip_roll_link,0,0,1,0,0,-0.17,1.8,,,,,,,,
right_thumbdip_roll_rubber_link,-0.00482242254414415,0.0234746184233177,-0.000225504397086493,0,0,0,0.00191592771890362,1.27513074362513E-07,1.01512368659842E-08,-1.96882167043771E-12,9.84187039735756E-08,3.13430583976278E-12,6.29893147117976E-08,0,0,0,0,0,0,../meshes/right_thumbdip_roll_rubber_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_thumbdip_roll_rubber_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_5-thumb-rubber-1,right_thumbdip_roll_link,right_thumbdip_roll_joint,right_thumbdip_roll_rubber_joint,fixed,0,0,0,0,0,0,right_thumbdip_roll_link,0,0,0,,,,,,,,,,,,
right_thumbpip_roll_touch_link,-0.00370407617005715,0.0167138894235628,-1.84393001582974E-05,0,0,0,0.000431172466649059,4.48867286186374E-08,-1.293878226805E-09,8.92345891037769E-12,5.05411238817749E-08,-6.0927293896236E-12,1.77482380036259E-08,0,0,0,0,0,0,../meshes/right_thumbpip_roll_touch_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_thumbpip_roll_touch_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_21 - touch-1,right_thumbpip_roll_link,right_thumbpip_roll_joint,right_thumbpip_roll_touch_joint,fixed,0,0,0,0,0,0,right_thumbpip_roll_link,0,0,0,,,,,,,,,,,,
right_thumbpip_roll_rubber_link,-0.00415632262214462,0.0178612867993672,-2.52658444713488E-06,0,0,0,0.00135314073205202,1.52769947813374E-07,-9.62888689513436E-09,-5.80583832027243E-12,1.56578848182599E-07,-5.32895165489321E-12,7.35429440280116E-08,0,0,0,0,0,0,../meshes/right_thumbpip_roll_rubber_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,../meshes/right_thumbpip_roll_rubber_link.STL,,00_STARK3NRSP_ID_UPGRADE__SK_21 - rubber-1,right_thumbpip_roll_link,right_thumbpip_roll_joint,right_thumbpip_roll_rubber_joint,fixed,0,0,0,0,0,0,right_thumbpip_roll_link,0,0,0,,,,,,,,,,,,
right_thumbmcp_roll_touch_link,-0.00184020328083511,0.0258989891311582,2.76826250775867E-05,0,0,0,0.000956159570317791,2.0903879176724E-07,1.56753502243941E-08,3.57005665467313E-10,1.83096743802031E-07,-2.82029700941712E-10,1.34260911617033E-07,0,0,0,0,0,0,../meshes/right_thumbmcp_roll_touch_link.STL,0.996078431372549,1,0.498039215686275,1,0,0,0,0,0,0,../meshes/right_thumbmcp_roll_touch_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_6 - TOUCH2-1,right_thumbmcp_roll_link,right_thumbmcp_roll_joint,right_thumbmcp_roll_touch_joint,fixed,0,0,0,0,0,0,right_thumbmcp_roll_link,0,0,0,,,,,,,,,,,,
right_thumbmcp_roll_rubber_link,-0.00203251542425809,0.0254905903635464,2.31201818712331E-05,0,0,0,0.00239149771911213,5.26293834120249E-07,3.75760959983832E-08,1.83594709639612E-10,4.79667381629512E-07,9.69829772227333E-10,3.33950687112633E-07,0,0,0,0,0,0,../meshes/right_thumbmcp_roll_rubber_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,../meshes/right_thumbmcp_roll_rubber_link.STL,,00_STARK3NRSP_ID_UPGRADE__SKE_6 - RUBBER-1,right_thumbmcp_roll_link,right_thumbmcp_roll_joint,right_thumbmcp_roll_rubber_joint,fixed,0,0,0,0,0,0,right_thumbmcp_roll_link,0,0,0,,,,,,,,,,,,
